Wall time,Step,Value
1491584035.850788,426600,16759.357421875
1491584167.324075,427000,16906.900390625
1491584330.881636,427500,16526.94921875
1491584461.385849,427900,16814.30859375
1491584624.79909,428400,16491.3125
1491584952.099357,429400,16750.86328125
1491585312.37668,430500,16581.73828125
1491585475.939507,431000,16553.05859375
1491585966.657443,432500,17300.001953125
1491586817.518105,435100,16908.31640625
1491587014.286407,435700,16939.626953125
1491587177.921329,436200,16804.79296875
1491587964.089689,438600,16804.830078125
1491589142.894864,442200,16512.181640625
1491589405.016805,443000,16842.5078125
1491589732.513786,444000,16934.89453125
1491589797.701296,444200,16702.53125
1491589928.240222,444600,17294.46484375
1491590518.950836,446400,16523.36328125
1491590682.668559,446900,16890.578125
1491591304.18148,448800,16987.578125
1491591402.743923,449100,16902.57421875
1491591534.221811,449500,16567.49609375
1491592221.430621,451600,16406.591796875
1491592385.124654,452100,16875.677734375
1491592418.204072,452200,17001.48828125
1491592451.336182,452300,16808.7890625
1491592483.361317,452400,16673.62109375
1491592778.691043,453300,17020.251953125
1491593073.001782,454200,16731.392578125
1491593728.677724,456200,17196.6953125
1491593794.072266,456400,16826.38671875
1491593859.239523,456600,16954.736328125
1491593924.685069,456800,16530.8359375
1491594547.264884,458700,17008.3203125
1491594744.186445,459300,16500.625
1491594907.913048,459800,16395.39453125
1491595103.945286,460400,16411.732421875
1491595202.244493,460700,16466.677734375
1491595267.695406,460900,16741.857421875
1491595792.01165,462500,16488.19921875
1491596054.051944,463300,16963.177734375
1491596250.892496,463900,16893.01953125
1491596283.206394,464000,17319.61328125
1491596775.345018,465500,16623.03125
1491597168.280958,466700,16522.78515625
1491597823.288671,468700,16581.572265625
1491597888.37443,468900,16951.32421875
1491597921.523976,469000,16802.099609375
1491597954.710176,469100,16844.9609375
1491598020.153765,469300,16682.595703125
1491598118.559056,469600,16718.208984375
1491598412.8741,470500,16591.74609375
1491598609.832711,471100,16409.861328125
1491598675.283887,471300,16814.818359375
1491598773.596754,471600,16996.513671875
1491599265.013093,473100,16816.24609375
1491599298.20627,473200,17032.220703125
1491599428.699078,473600,17112.724609375
1491599658.838697,474300,16991.880859375
1491600444.97685,476700,17165.01953125
1491600969.712561,478300,17239.052734375
1491601691.320329,480500,16715.83984375
1491602084.540566,481700,16998.826171875
1491602149.724564,481900,16721.58984375
1491602805.06734,483900,16329.984375
1491603100.658093,484800,16901.48828125
1491603592.275841,486300,16985.642578125
1491603625.436119,486400,17483.671875
1491603789.283192,486900,16796.154296875
1491603920.003585,487300,16562.705078125
1491604116.984821,487900,16506.466796875
1491604182.133758,488100,17255.75
1491604280.742543,488400,16485.90625
1491604575.314115,489300,17205.54296875
1491604805.490886,490000,16700.025390625
1491604936.119358,490400,16552.2890625
1491605198.261421,491200,17004.53515625
1491605231.419746,491300,16650.576171875
1491605330.050519,491600,16781.51171875
1491605756.122441,492900,16946.890625
1491606181.372599,494200,16225.693359375
1491606214.522646,494300,16259.712890625
1491606313.024502,494600,16844.466796875
1491606378.167362,494800,16490.546875
1491606541.971543,495300,16513.306640625
1491606772.231613,496000,16821.1796875
1491606968.285127,496600,16803.052734375
1491607001.406066,496700,16481.986328125
1491607656.682915,498700,16825.26953125
1491607721.919967,498900,16634.068359375
1491607885.458944,499400,16705.71875
1491608181.111224,500300,16719.03515625
1491608443.182113,501100,16640.96875
1491608541.819596,501400,17043.158203125
1491609065.581769,503000,16817.9375
1491609623.269423,504700,16506.1875
